2025-04-16 12:27:47 - INFO - [info] - Logger created
2025-04-16 12:27:47 - INFO - [info] - Connecting to vehicle...
2025-04-16 12:28:01 - INFO - [info] - Connected to vehicle
2025-04-16 12:28:01 - INFO - [info] - Sufficient number of satellites - Counted: 4, Required: 3
2025-04-16 12:28:01 - INFO - [info] - Sufficient battery level - Measured: 100, Required: 25
2025-04-16 12:28:01 - INFO - [info] - Vehicle health validated
2025-04-16 12:28:01 - INFO - [info] - Current waypoint: 5, 5
2025-04-16 12:28:01 - INFO - [info] - Pixhawk connected, running main
2025-04-16 12:28:01 - INFO - [info] - Waiting to switch to guided mode
2025-04-16 12:32:01 - INFO - [info] - Switched to guided mode
2025-04-16 12:32:03 - INFO - [info] - Mission: [[5, 5]]
2025-04-16 12:32:03 - INFO - [info] - Beginning mission
2025-04-16 12:32:03 - INFO - [info] - Current position: 4.165376663208008, 1.2599263191223145
2025-04-16 12:32:03 - INFO - [info] - Yaw command - Current yaw: 235, Final yaw: 469.7804405151682
2025-04-16 12:32:03 - INFO - [info] - Command sent
2025-04-16 12:32:27 - INFO - [info] - Adjusting velocity - Velocity X: 1, Velocity Y: 0, Altitude: 0
2025-04-16 12:32:39 - INFO - [info] - Current position: 6.553049564361572, 0.29754307866096497
2025-04-16 12:32:39 - INFO - [info] - Current position: 6.6513895988464355, 0.21768535673618317
2025-04-16 12:32:39 - INFO - [info] - Current position: 6.6513895988464355, 0.21768535673618317
2025-04-16 12:32:39 - INFO - [info] - Current position: 6.805201053619385, 0.15577048063278198
2025-04-16 12:32:40 - INFO - [info] - Current position: 6.805201053619385, 0.15577048063278198
2025-04-16 12:32:40 - INFO - [info] - Current position: 6.95529317855835, 0.138630673289299
2025-04-16 12:32:40 - INFO - [info] - Current position: 6.95529317855835, 0.138630673289299
2025-04-16 12:32:40 - INFO - [info] - Current position: 6.95529317855835, 0.138630673289299
2025-04-16 12:32:40 - INFO - [info] - Current position: 7.036095142364502, 0.15179046988487244
2025-04-16 12:32:40 - INFO - [info] - Current position: 7.036095142364502, 0.15179046988487244
2025-04-16 12:32:40 - INFO - [info] - Current position: 7.054293155670166, 0.1472543179988861
2025-04-16 12:32:40 - INFO - [info] - Current position: 7.054293155670166, 0.1472543179988861
2025-04-16 12:32:40 - INFO - [info] - Current position: 7.054293155670166, 0.1472543179988861
2025-04-16 12:32:41 - INFO - [info] - Current position: 7.063899040222168, 0.11034296452999115
