1969-12-31 19:05:45 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:45 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:46 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:48 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:48 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:49 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:49 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:49 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:49 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:49 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:49 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:50 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:50 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:51 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:52 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:52 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:53 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:54 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:54 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:55 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:56 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:56 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:57 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:57 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:57 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:57 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:57 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:58 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:58 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:58 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:59 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:00 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:00 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:00 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:00 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:00 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:00 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:01 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:01 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:01 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:01 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:01 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:01 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:01 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:01 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:01 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:02 - INFO - [info] - Obstacle detected.
1969-12-31 19:06:02 - INFO - [info] - Obstacle detected.
